id;bathroom_name;condtion_level;bathroom_size;water_pressure;shower_booth_presence;bathtub_presence;floor_and_ceiling;remarks
1;mid 나이 늙은;MIDDLE;19660.23;LOW;진;흥;HIGH;quaver pish 냉담한
2;저주받은 거꾸로;HIGH;20301.89;HIGH;정;진;MIDDLE;circa as
3;우연히 during 인기 많은;LOW;27242.34;MIDDLE;겁;h;MIDDLE;대체로 er eek
4;ah 분석자 worth;MIDDLE;5165.01;LOW;v;u;HIGH;meh 바쁘게 친절한
5;beside;MIDDLE;10895.16;MIDDLE;깨;대;LOW;다소 or even
6;behind ick;HIGH;16145.75;HIGH;어;활;MIDDLE;ah phew
7;cripple 대량;HIGH;734.37;MIDDLE;w;기;MIDDLE;에이전트 eek ha
8;유리한 how cone;MIDDLE;28065.16;HIGH;열;반;LOW;entrench
9;진술서 geez but;MIDDLE;29421.45;MIDDLE;f;굵;HIGH;활동가
10;motivate 마구 해석학;HIGH;194.96;HIGH;h;s;LOW;provided wing
