id;bedroom_name;condition_level;room_size;closet_yn;ac_yn;window_location;window_size;remarks
1;구실;HIGH;16431.13;f;즐;밀집한;외계인;er 외계인 진술서
2;항공편 singe 싼;HIGH;274;a;마;um why;gosh;enfold 비행선 ick
3;자신 있는 농업;MIDDLE;18581.27;c;심;boo before pish;쿨하게 drat;lest 극진히
4;고귀한;HIGH;13684.87;b;h;an oof;자랑스럽게 형용사;boohoo waver gah
5;진보;HIGH;12159.01;바;t;likewise;appropriate;심하게 hm
6;활성화 zowie opposite;HIGH;2837.67;b;몹;graduate through;바르게 아름답게;아름답게 huzzah
7;철저한 but 지속적으로;LOW;9391.24;어;극;aw 비참한 that;circa 옹호;lest 의기 양양한
8;다소;HIGH;8510.19;밝;진;decouple hmph;변경;devise 능숙한 edge
9;용감하게 hoot whether;MIDDLE;22206.05;g;놀;abaft;heighten 알파카 ugh;plus
10;진술서 신나는 알파벳;LOW;12480.42;q;잔;um croon;ick;nor
