id;entrance_name;condtion_level;entrance_size;shoe_rack_size;pantry_presence;remarks
1;ick rebuff;LOW;29794.05;30492.24;s;조정
2;ha yum down;HIGH;6102.42;7349.98;진;소름 끼치는 동작
3;atop oof pant;HIGH;29690.4;30583.54;p;anenst
4;나중에 qua;MIDDLE;8854.93;32389;분;gah
5;ah;HIGH;14053.44;15878.89;s;hypothesize zowie amid
6;though past;MIDDLE;25913.32;160.54;f;into meh 관심 있는
7;to describe;LOW;20641.3;32658.19;맹;reprimand
8;화려한;HIGH;32170.99;10188.48;s;of 대담한 nor
9;어댑터 ravel;LOW;6196.39;29797.96;m;decouple round
10;별명 modulo;LOW;9587.79;25777.42;r;whoa 겁 없는 where
